DealNumber,ContractDate,InventoryType,VIN,VehicleMake,VehicleModel,VehicleModelYear,VehicleSalePrice,TotalGrossProfit,BackEndGrossProfit,FrontEndGrossProfit,ContractTerm,BuyerHomeAddressCity,BuyerHomeAddressState,BuyerHomeAddressPostalCode,Trade1_VIN,Trade1_Year,Trade1_Make,Trade1_Model,Trade2_VIN,Trade2_Year,Trade2_Make,Trade2_Model
16163,2013-11-30,U,JTHBJ46GX72148316,Lexus,ES 350,2007,16995.0,4276.31,371.13,3905.18,60.0,South Bend,IN,466011537,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16164,2013-11-30,U,1G4HD57266U159095,Buick,Lucerne,2006,10250.0,3019.36,0.0,3019.36,1.0,South Bend,IN,466162147,1LNFM81W3WY670213,1998.0,LINCOLN,Town Car,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16174,2013-11-30,U,JTHCL5EF3C5015273,Lexus,LS 460,2012,58533.0,-1718.84,0.0,-1718.84,1.0,Wakarusa,IN,465739702,JTHBN36F555008398,2005.0,Lexus,LS 430,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16178,2013-12-03,N,2T2BK1BA4DC197633,Lexus,RX 350,2013,47620.0,309.02,0.0,309.02,1.0,Osceola,IN,465618931,JTEBU17R970123695,2007.0,Toyota,4Runner,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16179,2013-12-17,N,JTHBK1GG4E2087424,Lexus,ES 350,2014,43772.0,1801.0,305.0,1496.0,1.0,South Bend,IN,466142198,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16192,2013-12-05,N,JTHCE1BL5D5018576,Lexus,GS 350,2013,50583.0,-2824.0,0.0,-2824.0,1.0,Niles,MI,491207793,JNKCV51F64M714422,2004.0,Infiniti,G35x,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16198,2013-12-20,N,JTHCF1D20E5007732,Lexus,IS 250,2014,44130.0,1376.62,562.62,814.0,36.0,Granger,IN,465306613,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16201,2013-12-09,U,2T2BK1BA0CC150811,Lexus,RX 350,2012,40995.0,3191.96,0.0,3191.96,1.0,Saint Joseph,MI,490851081,2T2HK31U18C053867,2008.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16202,2013-12-09,U,2T2BK1BA7DC165260,Lexus,RX 350,2013,41995.0,3501.0,0.0,3501.0,1.0,South Bend,IN,466145441,JTHBL46F875049378,2007.0,Lexus,LS 460,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16210,2013-12-31,N,2T2BK1BA1EC237524,Lexus,RX 350,2014,51248.0,1887.33,200.0,1687.33,36.0,New Carlisle,IN,46552,2T2BK1BA0BC108962,2011.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16212,2013-12-07,U,JTM2F33V79D006162,TOYOTA,RAV4,2009,14814.02,1640.78,0.0,1640.78,1.0,Mishawaka,IN,465444804,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16213,2013-12-07,N,2T2BK1BA1EC232128,Lexus,RX 350,2014,46905.0,1515.87,1039.87,476.0,60.0,South Bend,IN,466171314,2T2GA31U25C035856,2005.0,Lexus,RX 330,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16214,2013-12-10,N,JTJJM7FX0D5063160,Lexus,GX 460,2013,59583.0,-1550.0,305.0,-1550.0,1.0,Granger,IN,465307466,2T2HK31U08C083216,2008.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16217,2013-12-07,U,2T2BK1BA5CC129310,Lexus,RX 350,2012,38350.0,5802.31,0.0,5802.31,1.0,Plymouth,IN,465637504,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16222,2013-12-11,N,JTHBK1GG5D2081176,Lexus,ES 350,2013,39500.0,-385.77,815.23,-1201.0,60.0,Niles,MI,491209093,1N4AL2AP9CC127504,2012.0,Nissan,Altima,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16224,2013-12-13,N,2T2BK1BA3EC237900,Lexus,RX 350,2014,51901.0,2417.43,1062.43,1355.0,60.0,Bremen,IN,465062206,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16225,2013-12-09,U,JM3TB38A380128581,Mazda,CX-9,2008,13172.0,686.04,0.0,686.04,1.0,Granger,IN,465304601,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16226,2013-12-12,N,2T2BK1BA3EC231529,Lexus,RX 350,2014,49687.0,1384.05,417.05,967.0,36.0,South Bend,IN,466289296,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16230,2013-12-19,N,2T2BK1BA0EC233478,Lexus,RX 350,2014,52040.0,-406.0,0.0,-406.0,36.0,Carmel,IN,460330002,2T2BK1BA2DC174349,2013.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16231,2013-12-21,N,JTJHY7AX0E4131779,Lexus,LX 570,2014,89815.0,771.93,925.93,-154.0,36.0,New Carlisle,IN,46552,JTJHY7AX7D4100818,2013.0,Lexus,LX 570,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16235,2013-12-12,U,2T2HK31U18C053867,Lexus,RX 350,2008,19100.0,4556.08,0.0,4556.08,1.0,Nappanee,IN,465509489,2FMDK39C59BA56551,2009.0,Ford,Edge,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16240,2013-12-11,N,2T2BK1BA8EC231171,Lexus,RX 350,2014,45821.0,916.0,250.0,666.0,60.0,Millersburg,IN,465439788,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16243,2013-12-19,N,2T2BK1BA7EC238869,Lexus,RX 350,2014,49760.0,1923.11,592.11,1331.0,24.0,Bristol,IN,465079323,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16244,2013-12-31,N,JTHKD5BH2D2170205,Lexus,CT 200h,2013,32890.36,-3527.76,200.0,-3727.76,36.0,Granger,IN,465308394,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16247,2013-12-16,N,2T2BK1BA1EC232873,Lexus,RX 350,2014,50954.0,660.0,200.0,460.0,48.0,Colon,MI,490409424,JTHBK1EG3B2448561,2011.0,Lexus,ES 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16249,2013-12-11,U,JTHBK1EGXC2475337,Lexus,ES 350,2012,34000.0,4035.28,0.0,4035.28,1.0,Granger,IN,465308426,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16255,2013-12-12,U,JTJJM7FX8A5003493,Lexus,GX 460,2010,43995.0,3209.14,0.0,3209.14,1.0,Middlebury,IN,46540,JTJBT20XX50069095,2005.0,Lexus,GX 470,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16260,2013-12-12,U,1FMDU73K03UA90593,Ford,Explorer,2003,6200.0,2168.36,0.0,2168.36,1.0,South Bend,IN,466192221,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16261,2013-12-19,N,2T2BK1BA9EC228067,Lexus,RX 350,2014,50475.0,415.0,250.0,165.0,60.0,Niles,MI,491207662,JTJBK1BA8A2412314,2010.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16273,2013-12-13,N,2T2BK1BA9EC239473,Lexus,RX 350,2014,50849.0,220.0,200.0,20.0,24.0,Mishawaka,IN,46545,2T2BK1BA1DC173340,2013.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16275,2013-12-13,U,JTHBK1EG7A2404559,Lexus,ES 350,2010,26432.0,2738.77,537.68,2201.09,60.0,Osceola,IN,465619570,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16277,2013-12-16,N,2T2BK1BA9EC237884,Lexus,RX 350,2014,46964.0,991.61,712.17,279.44,42.0,Benton Harbor,MI,490225438,2T2HK31U38C094615,2008.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16278,2013-12-20,N,JTHBK1GG7E2084985,Lexus,ES 350,2014,44223.0,228.0,150.0,78.0,60.0,White Pigeon,MI,490999440,JTHBF30G620028408,2002.0,Lexus,ES 300,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16283,2013-12-14,U,JTHCF5C25A5042205,Lexus,IS 250,2010,24995.0,1631.64,300.0,1331.64,60.0,Granger,IN,465307845,JTDKN3DU3A0038445,2010.0,Toyota,Prius,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16285,2013-12-14,U,2T2HK31U08C083216,Lexus,RX 350,2008,23000.0,3538.44,0.0,3538.44,1.0,New Buffalo,MI,491171593,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16292,2013-12-19,N,JTJBK1BA1E2039591,Lexus,RX 350,2014,51074.0,4.0,200.0,-196.0,36.0,Elkhart,IN,465144567,2T2BK1BA0BC114891,2011.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16299,2013-12-19,N,2T2BK1BA6EC238961,Lexus,RX 350,2014,48045.0,172.69,679.69,-507.0,60.0,Bristol,IN,465079651,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16301,2013-12-31,N,2T2BK1BA4EC234035,Lexus,RX 350,2014,44551.0,-320.0,200.0,-520.0,36.0,Winamac,IN,469960038,2T2BK1BA8BC104576,2011.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16311,2013-12-18,N,JTJBM7FX3D5062718,Lexus,GX 460,2013,55245.0,-1992.9,0.0,-1992.9,1.0,Flossmoor,IL,604221062,1GNFK130X8J179022,2008.0,Chevrolet,Tahoe,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16312,2013-12-21,N,JTHBW1GG3E2042589,Lexus,ES 300h,2014,45934.0,2158.91,1002.91,1156.0,48.0,Bristol,IN,465078776,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16314,2013-12-30,N,2T2BK1BA5EC240216,Lexus,RX 350,2014,52390.0,-156.0,200.0,-356.0,48.0,Mishawaka,IN,465454069,JTHCF1D20E5001042,2014.0,Lexus,IS 250,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16324,2013-12-30,N,2T2BK1BA0EC233268,Lexus,RX 350,2014,44700.0,-131.16,304.84,-436.0,60.0,Kalamazoo,MI,490099427,2T2HK31U67C022936,2007.0,Lexus,RX 350,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16332,2013-12-20,N,JTHCL5EF7E5020334,Lexus,LS 460,2014,78000.0,1507.0,0.0,1507.0,1.0,Bristol,IN,465070737,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16333,2013-12-23,U,5GAEV23708J286631,Buick,Enclave,2008,16948.0,3133.0,0.0,3133.0,1.0,Goshen,IN,465288615,1GKEK13V01J200616,2001.0,GMC,Yukon,Not Applicable,Not Applicable,Not Applicable,Not Applicable
16334,2013-12-21,U,JTHBJ46G592335272,Lexus,ES 350,2009,21495.0,1441.12,411.61,1029.51,60.0,Southfield,MI,480333170,1MEFM50U22A648711,2002.0,Mercury,Sable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
